StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q34;Q17;Q24;Q26;Q33;Q25;Q27;Q32;Q29_1;Q29_2;Q29_3;Q29_4;Q29_5;Q29_6;Q29_7;Q29_8;Q30;Q31
Start Date;End Date;Response Type;IP Address;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Location Latitude;Location Longitude;Distribution Channel;User Language;Particpantennummer (Krijg je van ons);Hoe oud ben je?;Wat is je geslacht;Welke richting studeer je?;Bachelor of Master?;In welk jaar van je studie zit je?;Maak je zelf gebruik van generative AI?;Waarvoor gebruik je generative AI?  (Vul niet in als je het niet gebruikt);Beantwoord de volgende vragen - Het gesprek was vriendelijk;Beantwoord de volgende vragen - Het gesprek was menselijk;Beantwoord de volgende vragen - De reactietijd was snel;Beantwoord de volgende vragen - Mijn gesprekpartner begreep mij;Beantwoord de volgende vragen - Mijn gesprekpartner begreep de onderwerpen;Beantwoord de volgende vragen - Ik weet zeker of mijn gesprekpartner een mens is of niet;Beantwoord de volgende vragen - De interface was vriendelijk;Beantwoord de volgende vragen - De interface was menselijk;Was jij aan het chatten met een mens of een Kunstmatige Intelligentie?;Daadwerkelijk mens/KI
11-12-2023 05:25;11-12-2023 05:42;0;145.109.29.234;100;997;1;11-12-2023 05:42;R_3JKiYekeE6Ae9ri;;;;;52.3824;4.8995;anonymous;EN;1;23;2;3;1;2;1;1,2;6;6;4;6;7;6;5;4;2;1
11-12-2023 06:12;11-12-2023 06:26;0;145.109.29.234;100;877;1;11-12-2023 06:26;R_1oBecx6V3GRjaNX;;;;;52.3824;4.8995;anonymous;EN;2;21;1;1;1;2;1;1,3;7;6;4;4;5;6;6;6;2;2
11-12-2023 06:26;11-12-2023 06:35;0;145.109.29.234;100;532;1;11-12-2023 06:35;R_XMK9BLAIS0ALPuF;;;;;52.3824;4.8995;anonymous;EN;3;19;1;1;1;2;1;1,2,3;6;6;3;7;7;5;6;6;1;2
11-12-2023 06:51;11-12-2023 07:10;0;145.109.29.234;100;1114;1;11-12-2023 07:10;R_3IQUPjLm6poEmiW;;;;;52.3824;4.8995;anonymous;EN;4;22;1;3;1;2;1;1,3;7;7;3;7;7;4;6;6;1;1
12-12-2023 03:21;12-12-2023 03:36;0;145.109.8.185;100;915;1;12-12-2023 03:36;R_26mdHNh092hGROo;;;;;52.3824;4.8995;anonymous;EN;5;24;1;2;1;2;1;1,2,3;7;6;5;7;7;4;5;5;1;2
12-12-2023 03:37;12-12-2023 03:58;0;145.109.8.185;100;1261;1;12-12-2023 03:58;R_9YoalRtKdXFQIJr;;;;;52.3824;4.8995;anonymous;EN;6;19;1;3;1;1;3;1,3;7;7;5;6;6;3;6;6;2;2
12-12-2023 04:10;12-12-2023 04:11;0;145.109.8.185;100;83;1;12-12-2023 04:11;R_1rAlnaCzueCDsh3;;;;;52.3824;4.8995;anonymous;EN;7;19;2;1;1;1;1;1;7;6;6;6;7;5;6;6;1;1
12-12-2023 04:20;12-12-2023 04:21;0;145.109.8.185;100;65;1;12-12-2023 04:21;R_BYgn1tZuVm5scCJ;;;;;52.3824;4.8995;anonymous;EN;8;24;1;1;2;5;3;3;6;5;3;6;6;7;7;6;2;2
12-12-2023 04:34;12-12-2023 04:36;0;145.109.28.244;100;102;1;12-12-2023 04:36;R_3fDG2K72SjQJgsX;;;;;52.3824;4.8995;anonymous;EN;9;19;1;1;1;2;3;1;7;6;4;6;7;5;7;6;2;1
12-12-2023 04:39;12-12-2023 04:50;0;145.109.28.244;100;674;1;12-12-2023 04:50;R_1prMEeQ1nVh2jJH;;;;;52.3824;4.8995;anonymous;EN;10;19;1;1;1;1;2;;7;6;3;7;7;7;7;7;1;1
12-12-2023 05:00;12-12-2023 05:01;0;145.109.28.244;100;92;1;12-12-2023 05:01;R_72PjHPRKxirqHoB;;;;;52.3824;4.8995;anonymous;EN;11;21;1;3;1;2;1;1,2,3;7;7;4;7;7;6;7;7;2;1
12-12-2023 05:17;12-12-2023 05:29;0;145.109.28.244;100;727;1;12-12-2023 05:29;R_2VJatpT1ukFYHlE;;;;;52.3824;4.8995;anonymous;EN;12;18;1;2;1;3;1;1,2,3;5;4;4;5;7;5;5;5;2;2
12-12-2023 05:47;12-12-2023 05:49;0;145.109.28.244;100;109;1;12-12-2023 05:49;R_DTSco66yn4xUbAd;;;;;52.3824;4.8995;anonymous;EN;13;22;1;1;1;1;1;1,3;7;6;5;6;6;6;6;6;2;2
12-12-2023 11:03;12-12-2023 11:05;0;62.163.181.35;100;121;1;12-12-2023 11:05;R_2t4fMIL9OIrT0Zu;;;;;52.3543;4.8951;anonymous;EN;14;20;1;2;1;5;1;1,3;7;6;5;6;6;5;6;6;2;2
12-12-2023 12:53;13-12-2023 03:40;0;145.109.32.35;100;53270;1;13-12-2023 03:40;R_rkyBXQCXssDzlsd;;;;;52.3824;4.8995;anonymous;EN;15;20;2;1;1;2;1;1,3;6;6;6;7;7;5;5;5;1;2
13-12-2023 03:40;13-12-2023 03:49;0;145.109.32.35;100;519;1;13-12-2023 03:49;R_AdIfZluv3aNrto5;;;;;52.3824;4.8995;anonymous;EN;16;22;2;2;1;3;1;1;5;6;5;6;6;4;5;5;2;2
13-12-2023 03:56;13-12-2023 04:05;0;145.109.12.164;100;523;1;13-12-2023 04:05;R_rj2G1pj89ZArpcJ;;;;;52.3824;4.8995;anonymous;EN;18;22;2;1;1;2;1;1;7;6;5;6;6;7;7;6;2;2
13-12-2023 03:50;13-12-2023 04:06;0;145.109.32.35;100;936;1;13-12-2023 04:06;R_1q3b6jYKtBnWoD8;;;;;52.3824;4.8995;anonymous;EN;17;21;1;2;1;3;1;1;6;6;6;4;6;5;6;6;2;2
13-12-2023 04:05;13-12-2023 04:10;0;145.109.12.164;100;299;1;13-12-2023 04:10;R_2Qn8jnRbnCsMQFw;;;;;52.3824;4.8995;anonymous;EN;19;24;1;1;1;3;1;1;7;7;6;7;7;5;7;7;2;2
13-12-2023 04:20;13-12-2023 04:22;0;145.109.32.35;100;117;1;13-12-2023 04:22;R_C8lcgm8EVaxjl73;;;;;52.3824;4.8995;anonymous;EN;20;18;1;2;1;1;1;1;6;3;5;5;6;6;6;5;2;2
13-12-2023 04:12;13-12-2023 04:23;0;145.109.12.164;100;660;1;13-12-2023 04:23;R_3D5ecDWTL5K3uuU;;;;;52.3824;4.8995;anonymous;EN;21;18;2;1;1;1;1;1;7;4;3;5;6;4;5;4;2;2
13-12-2023 04:35;13-12-2023 04:43;0;145.109.32.35;100;477;1;13-12-2023 04:43;R_3s02mp9FEXKQfea;;;;;52.3824;4.8995;anonymous;EN;22;22;2;1;1;3;1;1,3;6;6;5;6;6;5;5;5;1;2
13-12-2023 04:23;13-12-2023 04:45;0;145.109.12.164;100;1300;1;13-12-2023 04:45;R_21mjxu4TEE2qHWv;;;;;52.3824;4.8995;anonymous;EN;24;22;2;3;1;3;3;1;7;6;5;6;7;7;6;5;1;2
13-12-2023 04:43;13-12-2023 04:49;0;145.109.32.35;100;410;1;13-12-2023 04:50;R_W6FUcq9ukRNBVdL;;;;;52.3824;4.8995;anonymous;EN;23;19;2;2;1;1;1;1;7;6;6;6;6;4;5;5;2;2
13-12-2023 04:45;13-12-2023 04:50;0;145.109.12.164;100;325;1;13-12-2023 04:50;R_3hz1p9HXxyXLJJH;;;;;52.3824;4.8995;anonymous;EN;25;21;2;1;1;2;1;1;7;4;6;7;6;5;6;6;2;2
13-12-2023 04:59;13-12-2023 06:04;0;145.109.32.35;100;3927;1;13-12-2023 06:04;R_30eHbIYvwRljYkt;;;;;52.3824;4.8995;anonymous;EN;26;21;1;3;1;2;1;1,2,3;5;6;5;6;6;5;5;5;1;1
13-12-2023 06:04;13-12-2023 06:13;0;145.109.32.35;100;527;1;13-12-2023 06:13;R_1KXt5KvKYs2h0qt;;;;;52.3824;4.8995;anonymous;EN;27;20;2;2;1;2;1;1;6;5;6;6;5;6;6;5;1;1
13-12-2023 06:13;13-12-2023 06:19;0;145.109.32.35;100;364;1;13-12-2023 06:19;R_124IWfTT8T0tyKO;;;;;52.3824;4.8995;anonymous;EN;28;23;2;1;1;3;1;1;7;6;6;6;6;5;6;5;1;1
13-12-2023 06:21;13-12-2023 06:27;0;145.109.12.164;100;353;1;13-12-2023 06:27;R_29uKuVCXIMPhNmB;;;;;52.3824;4.8995;anonymous;EN;29;20;1;3;1;1;1;1;6;6;5;6;6;5;6;6;2;1
13-12-2023 06:27;13-12-2023 06:33;0;145.109.12.164;100;355;1;13-12-2023 06:33;R_27y7w78qw8795g7;;;;;52.3824;4.8995;anonymous;EN;30;21;2;1;1;2;1;1;7;5;6;7;7;6;7;4;2;1
13-12-2023 06:19;13-12-2023 07:07;0;145.109.32.35;100;2869;1;13-12-2023 07:07;R_3HhvyheU2i1GFjL;;;;;52.3824;4.8995;anonymous;EN;31;22;2;1;1;4;1;1,3;6;5;3;5;6;4;6;6;2;1
13-12-2023 06:54;13-12-2023 07:07;0;145.109.12.164;100;795;1;13-12-2023 07:07;R_1ruWBHkQD9tUk36;;;;;52.3824;4.8995;anonymous;EN;32;19;2;1;1;2;1;1;7;7;4;7;7;3;7;7;1;2
13-12-2023 07:07;13-12-2023 07:14;0;145.109.12.164;100;380;1;13-12-2023 07:14;R_1JVhMNrlsdO10cp;;;;;52.3824;4.8995;anonymous;EN;34;19;2;1;1;2;3;1;7;7;6;7;7;6;7;7;1;2
13-12-2023 07:08;13-12-2023 07:19;0;145.109.32.35;100;653;1;13-12-2023 07:19;R_rd2Rqf2PpVhU3ap;;;;;52.3824;4.8995;anonymous;EN;33;18;1;3;1;1;1;1;7;7;4;7;7;4;7;7;2;1
13-12-2023 07:19;13-12-2023 07:31;0;145.109.32.35;100;686;1;13-12-2023 07:31;R_PTZ1HEoqFeJCloZ;;;;;52.3824;4.8995;anonymous;EN;35;19;2;3;1;2;1;1,3;7;7;3;4;6;7;7;7;1;1
13-12-2023 07:14;13-12-2023 07:31;0;145.109.12.164;100;1002;1;13-12-2023 07:31;R_3qm4BgdBE7qJQBp;;;;;52.3824;4.8995;anonymous;EN;36;20;2;3;1;2;1;1;6;5;4;4;6;5;6;6;2;2
13-12-2023 10:48;13-12-2023 11:00;0;77.251.241.99;100;702;1;13-12-2023 11:00;R_1DZ5mF8Sqv63tGL;;;;;52.376;4.8702;anonymous;EN;37;21;2;2;1;3;1;1,3;7;4;6;7;6;5;6;6;1;2
13-12-2023 11:01;13-12-2023 11:09;0;77.251.241.99;100;486;1;13-12-2023 11:09;R_3ssGMENWqUpybdQ;;;;;52.376;4.8702;anonymous;EN;38;20;2;2;2;4;3;1;5;5;3;4;5;4;5;5;2;2
13-12-2023 07:31;14-12-2023 06:17;0;145.109.22.238;100;81995;1;14-12-2023 06:18;R_2QPsNbMBLsZZpjh;;;;;52.3824;4.8995;anonymous;EN;40;18;1;3;1;1;3;1;7;6;5;6;4;6;7;5;2;2
14-12-2023 06:05;14-12-2023 06:20;0;145.109.15.82;100;855;1;14-12-2023 06:20;R_8iShTEkUS5Sg42R;;;;;52.3824;4.8995;anonymous;EN;39;21;1;3;1;4;1;1,2;7;5;3;4;7;5;6;6;2;1
14-12-2023 06:24;14-12-2023 06:33;0;145.109.22.238;100;503;1;14-12-2023 06:33;R_6RezyRlPQALEtTb;;;;;52.3824;4.8995;anonymous;EN;42;20;2;3;1;2;1;1;6;4;6;7;7;6;7;6;2;2
14-12-2023 06:31;14-12-2023 06:33;0;145.109.15.82;100;88;1;14-12-2023 06:33;R_7NBcZHXmj6mRWRb;;;;;52.3824;4.8995;anonymous;EN;41;20;2;3;1;2;1;1,2;6;6;3;6;6;6;6;4;1;1
14-12-2023 06:22;14-12-2023 06:33;0;145.109.44.193;100;665;1;14-12-2023 06:33;R_8fkOnZcHgBjUojH;;;;;52.3824;4.8995;anonymous;EN;44;19;1;3;1;1;1;1,3;7;6;3;6;7;7;7;5;2;2
14-12-2023 06:33;14-12-2023 06:41;0;145.109.15.82;100;521;1;14-12-2023 06:41;R_6TvNlWqYEThWreb;;;;;52.3824;4.8995;anonymous;EN;43;19;1;3;1;2;1;1;7;6;3;7;7;5;6;7;2;1
14-12-2023 06:33;14-12-2023 06:43;0;145.109.22.238;100;617;1;14-12-2023 06:43;R_8yqmstoWSw8OS38;;;;;52.3824;4.8995;anonymous;EN;46;20;1;3;1;2;1;1;5;4;5;5;6;7;6;5;2;2
15-12-2023 05:10;15-12-2023 05:13;0;195.240.10.46;100;181;1;15-12-2023 05:13;R_3CruxMUYZeVIpGc;;;;;52.6682;4.7649;anonymous;EN;45;23;2;1;2;5;3;1;7;6;3;7;7;5;6;6;2;1
15-12-2023 12:20;15-12-2023 12:22;0;109.38.154.219;100;169;1;15-12-2023 12:22;R_5qyCZ6Q5DdM34tW;;;;;52.3748;4.8513;anonymous;EN;47;25;1;3;3;5;2;3;6;6;5;6;6;5;6;6;2;1
15-12-2023 13:16;15-12-2023 13:18;0;195.240.10.46;100;142;1;15-12-2023 13:18;R_5huA3FCRZL3AY1K;;;;;52.6682;4.7649;anonymous;EN;48;23;2;1;2;1;2;;7;6;4;7;7;5;7;5;2;1
15-12-2023 14:06;15-12-2023 14:24;0;145.53.36.211;100;1101;1;15-12-2023 14:24;R_4bQazpIWbQLstnH;;;;;52.3882;4.8844;anonymous;EN;57;21;1;2;1;2;3;3;7;6;6;7;7;7;7;6;1;1
15-12-2023 14:28;15-12-2023 14:33;0;77.174.135.173;100;314;1;15-12-2023 14:33;R_51jcLMR64GvBTXi;;;;;52.6336;4.7199;anonymous;EN;51;26;2;3;1;4;2;4;7;6;4;5;6;5;7;7;2;1
16-12-2023 02:23;16-12-2023 02:25;0;77.160.126.248;100;75;1;16-12-2023 02:25;R_29yVWx32xBx5Iu5;;;;;52.5969;4.7083;anonymous;EN;50;20;2;1;1;3;3;3;7;7;6;7;7;6;7;7;2;1
16-12-2023 06:26;16-12-2023 06:45;0;217.122.243.23;100;1153;1;16-12-2023 06:45;R_5nTw8RRrNKnPHcO;;;;;52.6458;4.8165;anonymous;EN;49;25;1;1;1;2;2;4;7;7;7;7;7;7;7;7;2;1
16-12-2023 07:02;16-12-2023 07:07;0;178.85.104.231;100;306;1;16-12-2023 07:07;R_3zC7SVaMV5xkEQV;;;;;52.6217;4.7571;anonymous;EN;53;23;2;2;3;3;2;4;7;7;6;7;7;7;7;7;1;1
16-12-2023 07:07;16-12-2023 07:08;0;178.85.104.231;100;47;1;16-12-2023 07:08;R_5psdnR9NhiOVxTP;;;;;52.6217;4.7571;anonymous;EN;52;20;2;3;1;4;1;1;7;7;6;7;7;5;7;7;2;1
16-12-2023 07:30;16-12-2023 07:45;0;83.82.15.156;100;912;1;16-12-2023 07:45;R_25tg8cygxJBcHLh;;;;;51.6914;5.3088;anonymous;EN;55;22;2;2;2;1;3;1;7;6;3;7;7;4;7;6;1;1
16-12-2023 07:56;16-12-2023 07:57;0;62.163.181.35;100;69;1;16-12-2023 07:57;R_8TJxx5XqreFVgLn;;;;;52.3543;4.8951;anonymous;EN;54;21;1;3;1;2;1;1,3;6;5;6;6;6;5;6;6;1;1
16-12-2023 08:03;16-12-2023 08:04;0;62.163.181.35;100;31;1;16-12-2023 08:04;R_8zjdIuiyVMyXQWp;;;;;52.3543;4.8951;anonymous;EN;56;20;2;1;1;2;1;1,2,3;6;5;6;5;5;4;5;5;2;1
16-12-2023 10:22;16-12-2023 10:24;0;77.249.166.77;100;114;1;16-12-2023 10:24;R_1oT9I989365pY15;;;;;52.3795;4.8777;anonymous;EN;58;20;1;2;1;1;3;1;7;6;6;6;7;5;7;6;1;1
16-12-2023 11:38;16-12-2023 11:40;0;145.53.36.211;100;91;1;16-12-2023 11:40;R_5f0zMN9ITI9X7Ec;;;;;52.3882;4.8844;anonymous;EN;59;21;1;3;1;3;3;1;7;6;4;7;6;7;4;5;2;1
18-12-2023 03:52;18-12-2023 03:53;0;145.109.2.121;100;71;1;18-12-2023 03:53;R_6znF9Lf0YJPE7hS;;;;;52.3824;4.8995;anonymous;EN;60;24;1;1;2;4;3;1;6;7;3;6;5;5;5;7;1;1

